DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,F,BE,2022,62929,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,M,BE,2011,66171,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,M,BE,2012,64925,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,M,BE,2013,64194,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,M,BE,2014,64382,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,M,BE,2015,64515,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,M,BE,2016,64577,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,M,BE,2017,64562,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,M,BE,2018,65654,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,M,BE,2019,64534,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,M,BE,2020,64045,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,M,BE,2021,64759,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,M,BE,2022,67335,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,F,BE,2011,65981,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,F,BE,2012,64133,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,F,BE,2013,61640,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,F,BE,2014,61666,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,F,BE,2015,62396,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,F,BE,2016,62632,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,F,BE,2017,61684,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,F,BE,2018,61806,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,F,BE,2019,62760,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,F,BE,2020,62125,
